Product Name,Rating,Price,Discount in Percent,Price Before Discount,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Graphic Processor,Storage Type,Ratings Count,Reviews Count,Brand
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.3,51990,38.0,84999.0,Intel,Core i5,Yes,512,16 GB,DDR4,13420H,NVIDIA GeForce RTX 2050,SSD,1558.0,117.0,Acer
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,3.7,18990,52.0,39990.0,Intel,Celeron Dual Core,Yes,256,8 GB,DDR5,N4020,Intel Integrated UHD,SSD,1151.0,133.0,CHUWI
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,47990,23.0,62526.0,Intel,Core i5,Yes,512,16 GB,DDR4,1235U,Intel Integrated Iris Xe,SSD,5674.0,292.0,HP
HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,4.3,56990,22.0,73688.0,Intel,Core i5,Yes,512,16 GB,DDR4,1235U,Intel Integrated UHD Graphics,SSD,2011.0,149.0,HP
ASUS ExpertBook B14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1402CBA-NK1494WS...,4.3,32990,35.0,50990.0,Intel,Core i3,Yes,512,8 GB,DDR4,1215U,Intel Integrated UHD,SSD,252.0,22.0,ASUS
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,57990,20.0,72718.0,Intel,Core i5,Yes,512,8 GB,DDR4,12450H,NVIDIA GeForce RTX 2050,SSD,2577.0,134.0,HP
Lenovo V14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Light Lapto...,4.2,37490,21.0,47990.0,Intel,Core i5,Yes,512,16 GB,DDR4,1235U,Intel Integrated Intel,SSD,431.0,34.0,Lenovo
HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,4.2,38990,28.0,54539.0,Intel,Core i3,Yes,512,16 GB,DDR4,1215U,Intel Integrated UHD,SSD,6309.0,378.0,HP
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ521WS Th...,4.2,34790,48.0,66990.0,AMD,Ryzen 5 Quad Core,Yes,512,8 GB,LPDDR5,7520U,AMD Radeon AMD,SSD,2126.0,137.0,ASUS
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,4.2,41990,40.0,69990.0,Intel,Core i5,Yes,512,8 GB,DDR4,1235U,Intel Integrated Iris Xe,SSD,6488.0,350.0,ASUS
HP Victus 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,4.4,74990,18.0,92110.0,Intel,Core i5,Yes,512,16 GB,DDR4,13420H,NVIDIA GeForce RTX 3050,SSD,1021.0,66.0,HP
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.2,53990,36.0,84999.0,Intel,Core i5,Yes,512,16 GB,DDR4,12450H,NVIDIA GeForce RTX 3050,SSD,2401.0,196.0,Acer
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.2,34790,32.0,51266.0,Intel,Core i3,Yes,512,8 GB,DDR4,1215U,Intel Integrated UHD,SSD,6309.0,378.0,HP
HP Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 EE Chromebook,3.7,9990,71.0,34554.0,MediaTek,MT8183,No,Unknown,4 GB,LPDDR4X,Unknown,MediaTek Integrated ARM Mali G72 MP3 Graphics,eMMC,7022.0,588.0,HP
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,4.2,36990,32.0,54552.0,AMD,Ryzen 5 Hexa Core,Yes,512,8 GB,DDR4,5500U,AMD Radeon AMD,SSD,7957.0,584.0,HP
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,46990,36.0,73990.0,Intel,Core i5,Yes,512,16 GB,DDR4,1235U,Intel Integrated Integrated,SSD,6488.0,350.0,ASUS
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,51990,26.0,70990.0,Intel,Core i5,Yes,512,16 GB,DDR4,12450H,NVIDIA GeForce RTX 2050,SSD,1127.0,99.0,MSI
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.1,50990,49.0,99999.0,Intel,Core i5,Yes,512,16 GB,DDR4,12450H,NVIDIA GeForce RTX 2050,SSD,3592.0,290.0,Acer
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,4.2,29885,41.0,50990.0,AMD,Ryzen 3 Quad Core,Yes,512,8 GB,LPDDR5,7320U,AMD Radeon AMD,SSD,4342.0,426.0,ASUS
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ342WS Thi...,4.3,34990,36.0,54990.0,Intel,Core i3,Yes,512,16 GB,DDR4,1215U,Intel Integrated UHD,SSD,10292.0,801.0,ASUS
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Qualcomm Snapdragon X Elite - (16 GB/1 TB SSD/Window...",4.3,109990,25.0,146990.0,Qualcomm,Snapdragon X Elite,Yes,1024.0,16 GB,LPDDR5X,X1E 78 100,Unknown,SSD,21.0,2.0,ASUS
Infinix GT Book Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,4.2,53990,46.0,99990.0,Intel,Core i5,Yes,512,16 GB,LPDDR5,12450H,NVIDIA GeForce RTX 3050,SSD,366.0,62.0,Infinix
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin a...,4.2,38990,23.0,51134.0,Intel,Core i3,Yes,512,8 GB,DDR4,1215U,Intel Integrated UHD,SSD,6618.0,552.0,HP
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,4.2,29990,40.0,49999.0,Intel,Core i3,Yes,512,8 GB,DDR4,1305U,Intel Integrated UHD,SSD,753.0,72.0,Acer
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41-R6G9 Thin a...,4.3,37990,45.0,69999.0,AMD,Ryzen 5 Hexa Core,Yes,512,16 GB,LPDDR4X,7430U,AMD Radeon AMD,SSD,546.0,66.0,Acer
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,68990,30.0,99900.0,Apple,M2,Yes,256,8 GB,Unified Memory,Apple M2 Chip,Unknown,SSD,15803.0,966.0,Apple
Apple MacBook Air Apple M3 - (8 GB/256 GB SSD/macOS Sonoma) MRXT3HN/A,4.6,86990,24.0,114900.0,Apple,M3,Yes,256,8 GB,Unified Memory,Unknown,Unknown,SSD,410.0,32.0,Apple
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ522WS Th...,4.2,35990,46.0,66990.0,AMD,Ryzen 5 Quad Core,Yes,512,8 GB,LPDDR5,7520U,AMD Radeon AMD,SSD,2126.0,137.0,ASUS
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,4.2,44990,21.0,56990.0,Intel,Core i5,Yes,512,16 GB,LPDDR5,12450H,Intel Integrated UHD,SSD,193.0,23.0,Acer
HP Laptop Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and Light...,4.2,34290,26.0,46709.0,Intel,Core i3,Yes,256,8 GB,DDR4,1215U,Intel Integrated UHD,SSD,6309.0,378.0,HP
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,4.4,26999,15.0,31990.0,AMD,Ryzen 3 Quad Core,Yes,512,8 GB,DDR4,7320U,AMD Radeon AMD RADEON,SSD,115.0,14.0,HP
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin an...,4.1,39999,24.0,53000.0,Intel,Core i5,Yes,512,8 GB,DDR4,1235U,Intel Integrated Intel Graphics,SSD,2408.0,170.0,Acer
Apple MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLXX3HN/A,4.7,85990,28.0,119900.0,Apple,M2,Yes,512,8 GB,Unified Memory,Apple M2 Chip,Unknown,SSD,1178.0,59.0,Apple
HP 15s AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Thin and Light Lapt...,4.3,31635,32.0,46577.0,AMD,Ryzen 3 Quad Core,Yes,512,8 GB,LPDDR5,7320U,AMD Radeon AMD,SSD,314.0,37.0,HP
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...",4.3,31990,41.0,54990.0,Intel,Core i3,Yes,512,8 GB,DDR4,1215U,Intel Integrated Integrated Intel® UHD Graphics,SSD,10292.0,801.0,ASUS
Acer Swift Go 14 AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) SFG14-41 Thin and Ligh...,4.3,50990,40.0,84990.0,AMD,Ryzen 7 Octa Core,Yes,1024.0,16 GB,LPDDR4X,7730U,AMD Radeon AMD,SSD,445.0,49.0,Acer
Acer Chromebook Plus Google AI Intel Core i3 N305 - (8 GB/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebo...,3.8,17990,64.0,49999.0,Intel,Core i3,Yes,256,8 GB,LPDDR5,N305,Intel Integrated UHD,SSD,408.0,47.0,Acer
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,4.1,38990,26.0,53000.0,Intel,Core i5,Yes,512,16 GB,DDR4,1235U,Intel Integrated Intel Graphics,SSD,2408.0,170.0,Acer
Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,4.4,94990,26.0,129999.0,Intel,Core i5,Yes,512,16 GB,DDR5,13500HX,NVIDIA GeForce RTX 4050,SSD,724.0,74.0,Acer
Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...,4.2,23990,43.0,42590.0,Intel,Celeron Dual Core,Yes,512,8 GB,DDR4,N4020,Intel Integrated UHD,SSD,317.0,14.0,Lenovo
HP 255 G9 AMD Ryzen 3 Dual Core 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Thin and Light Laptop,4.0,24999,44.0,44911.0,AMD,Ryzen 3 Dual Core,Yes,512,8 GB,DDR4,3250,AMD Radeon Vega 8 Graphics,SSD,1254.0,87.0,HP
HP Laptop Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5329TU Thin and Light...,4.1,46490,26.0,62963.0,Intel,Core i5,Yes,512,8 GB,DDR4,1235U,Intel Integrated Iris Xe,SSD,187.0,8.0,HP
