Product Name,Rating,Price,Number of Ratings and Reviews,Discount,Price Before Discount,Is Flipkart Assured,Product URL,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Battery Backup,Power Supply,Inbuilt 4G LTE,Stylus Included,Number of Cores,Battery Cell,RAM Frequency,Cache,Memory Slots,Expandable SSD Capacity,Expandable Memory,EMMC Storage Capacity,TGP,Chipset,HDD Capacity,RPM,Cloud Storage,UFS Storage Capacity,Optane Memory
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.3,"₹51,990","1,558 Ratings & 117 Reviews",38% off,"₹84,999",Yes,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96J7CE6ZPH&lid=LSTCOMH3G96J7CE6ZPHSFRCM4&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_czcoiRB48V0JgbdOa7Xmh4z8OCGv8wl06RyaXAGOMXhpXSP5whDz7CyyYiIRucHToa1jb1cp8OD4zJ2al8Cx9PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-79G,UN.34NSI.002,A715-79G,Aspire 7,Black,Gaming Laptop,Gaming,No,GDDR6,4 GB,Intel,Core i5,13th Gen,Yes,512 GB,16 GB,DDR4,13420H,1.5 GHz upto Max Turbo Frequency 4.6 GHz,NVIDIA GeForce RTX 2050,SSD,,,,,,,,,,,,,,,,,,,
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,3.7,"₹18,990","1,151 Ratings & 133 Reviews",52% off,"₹39,990",No,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-plus-laptop/p/itm9002f3d92e61f?pid=COMGYAM9KS83NEPS&lid=LSTCOMGYAM9KS83NEPSPOX0OT&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_czcoiRB48V0JgbdOa7Xmh4z8OCGv8wl06RyaXAGOMXhuQ_uqcwe_x_LnNREl5ojtKENBsB9BMy_OkP_3X7JXGA%3D%3D&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, Charger, User Guide Manual",HeroBook Plus,CWI629,HeroBook Plus,,Grey,Laptop,Processing & Multitasking,No,DDR5,,Intel,Celeron Dual Core,11th Gen,Yes,256 GB,8 GB,DDR5,N4020,1.10 GHz Upto 2.80 GHz,Intel Integrated UHD,SSD,Upto 9 hours,12 AV Adapter Fast Charger,No,No,2,,,,,,,,,,,,,,
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,"₹47,990","5,674 Ratings & 292 Reviews",23% off,"₹62,526",Yes,https://www.flipkart.com/hp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5330tu-15-fd0111tu-thin-light-laptop/p/itm5b5f94f7b044c?pid=COMGXNZGJV3MEMWM&lid=LSTCOMGXNZGJV3MEMWMMNYA0K&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=570d065c-3e83-416a-9180-abd7348e45b3.COMGXNZGJV3MEMWM.SEARCH&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fq5330TU|15-fd0111TU,9D3P0PA#ACJ|A47CYPA,15s-fq5330TU,,Silver,Thin and Light Laptop,Processing & Multitasking,Yes,,,Intel,Core i5,12th Gen,Yes,512 GB,16 GB,DDR4,1235U,Max Frequency Up to 4.4 GHz,Intel Integrated Iris Xe,SSD,,,,,,,,,,,,,,,,,,,
HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,4.3,"₹56,990","2,011 Ratings & 149 Reviews",22% off,"₹73,688",Yes,https://www.flipkart.com/hp-pavilion-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-14-dv2014tu-thin-light-laptop/p/itmb4b81cd1f873f?pid=COMGEG3ZNYZDAYVJ&lid=LSTCOMGEG3ZNYZDAYVJNYHV3Q&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=570d065c-3e83-416a-9180-abd7348e45b3.COMGEG3ZNYZDAYVJ.SEARCH&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, Power Adapter, User Guide, Warranty Documents",14-dv2014TU,6K9C3PA#ACJ,14-dv2014TU,Pavilion,Natural Silver,Thin and Light Laptop,"Entertainment, Performance",Yes,,,Intel,Core i5,12th Gen,Yes,512 GB,16 GB,DDR4,1235U,Upto 4.4 GHz,Intel Integrated UHD Graphics,SSD,,,,,10,3,3200 MHz,12,,,,,,,,,,,
ASUS ExpertBook B14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1402CBA-NK1494WS...,4.3,"₹32,990",252 Ratings & 22 Reviews,35% off,"₹50,990",Yes,https://www.flipkart.com/asus-expertbook-b14-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-b1402cba-nk1494ws-thin-light-laptop/p/itm5558ba4200e57?pid=COMGZF9EYUYC52BH&lid=LSTCOMGZF9EYUYC52BHIWCC5H&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=570d065c-3e83-416a-9180-abd7348e45b3.COMGZF9EYUYC52BH.SEARCH&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, Power Adaptor, User Guide, Warranty Documents",B1402CBA-NK1494WS,90NX05V1-M01NM0,B1402CBA-NK1494WS,ExpertBook B14,Star Black,Thin and Light Laptop,Processing & Multitasking,Yes,,,Intel,Core i3,12th Gen,Yes,512 GB,8 GB,DDR4,1215U,0.9 GHz upto Max Turbo Frequency 4.4 GHz,Intel Integrated UHD,SSD,,42 W,,,,,,,,,,,,,,,,,
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,"₹57,990","2,577 Ratings & 134 Reviews",20% off,"₹72,718",Yes,https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa1226tx-gaming-laptop/p/itm9ad6649afe111?pid=COMHY8KVEKZVERUA&lid=LSTCOMHY8KVEKZVERUADILR5M&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_czcoiRB48V0JgbdOa7Xmh4z8OCGv8wl06RyaXAGOMXjR7d5D1aoGL1QBIKPjgExpWXWW_0ysRGvRyk5NNw-IxuvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fa1226TX,A03H2PA#ACJ,15-fa1226TX,Victus,Performance Blue,Gaming Laptop,Gaming,No,DDR4,4 GB,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,DDR4,12450H,,NVIDIA GeForce RTX 2050,SSD,Upto 6 Hours and 30 Minutes,,,,,,,,,,,,,,,,,,
Lenovo V14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Light Lapto...,4.2,"₹37,490",431 Ratings & 34 Reviews,21% off,"₹47,990",Yes,https://www.flipkart.com/lenovo-v14-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-v-14-thin-light-laptop/p/itme87a00a2ff6c2?pid=COMH76FG3MCSNRDV&lid=LSTCOMH76FG3MCSNRDVPDKKL7&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=570d065c-3e83-416a-9180-abd7348e45b3.COMH76FG3MCSNRDV.SEARCH&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,Laptop 1 ; Adapter 1 ; Power Cable 1,V 14,82TSA0CWIH,V14,V14,Iron Grey,Thin and Light Laptop,"Entertainment, Everyday Use, Learning, Processing & Multitasking, Travel & Business",No,,,Intel,Core i5,12th Gen,Yes,512 GB,16 GB,DDR4,1235U,Up to 4.4 GHz,Intel Integrated Intel,SSD,upto 6 hours,,No,,10,3 Cell,,12MB L3,2,NA,,,,,,,,,
HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,4.2,"₹38,990","6,309 Ratings & 378 Reviews",28% off,"₹54,539",Yes,https://www.flipkart.com/hp-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-15s-fy5004tu-thin-light-laptop/p/itm2977a9ca00317?pid=COMGQY48KGHRAF3B&lid=LSTCOMGQY48KGHRAF3BZZJLOX&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=570d065c-3e83-416a-9180-abd7348e45b3.COMGQY48KGHRAF3B.SEARCH&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fy5004TU,8K8J2PA#ACJ,15s-fy5004TU,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,,,Intel,Core i3,12th Gen,Yes,512 GB,16 GB,DDR4,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,SSD,,,,,,3 Cell,,,,,,,,,,,,,
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ521WS Th...,4.2,"₹34,790","2,126 Ratings & 137 Reviews",48% off,"₹66,990",Yes,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj521ws-thin-light-laptop/p/itmf2da9c7085e1b?pid=COMGNRNUKRMMXNZQ&lid=LSTCOMGNRNUKRMMXNZQYSOFRK&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=570d065c-3e83-416a-9180-abd7348e45b3.COMGNRNUKRMMXNZQ.SEARCH&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, battery, power adapter, user guide",E1504FA-NJ521WS,90NB0ZR1-M00AH0,E1504FA-NJ521WS,Vivobook Go 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,,,AMD,Ryzen 5 Quad Core,,Yes,512 GB,8 GB,LPDDR5,7520U,2.8 GHz upto max turbo frequency at 4.3 Ghz,AMD Radeon AMD,SSD,,,,,,3 cell,,,,1 TB,NA,,,,,,,,
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,4.2,"₹41,990","6,488 Ratings & 350 Reviews",40% off,"₹69,990",Yes,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj527ws-x1504za-nj522ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4Y6KZGGKYCGP&lid=LSTCOMH4Y6KZGGKYCGP6QZMPB&marketplace=FLIPKART&q=Laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=570d065c-3e83-416a-9180-abd7348e45b3.COMH4Y6KZGGKYCGP.SEARCH&ppt=None&ppn=None&ssid=dfqthhgkts0000001737897570924&qH=48b773c837465a99,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1504ZA-NJ527WS|X1504ZA-NJ522WS,90NB1022-M029P0|90NB1022-M00H00,X1504ZA-NJ527WS|X1504ZA-NJ522WS,Vivobook 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,,,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,DDR4,1235U,Base frequency 0.9 GHz upto Max Turbo Frequency 4.4 GHz,Intel Integrated Iris Xe,SSD,,,,,,,,,,,,,,,,,,,
